ISODISTORT
SUITE
HELP
ISODISTORT: modes details
Parent structure (1 P1)
a=5.59234, b=5.59234, c=3.89428, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x         y         z         occ   
Pb27 1a     0.31262   0.00000   0.00000   1.00000   0.00000  
Pb29 1a     0.37512   0.00000   0.00000   1.00000   0.00000  
Pb31 1a     0.43762   0.00000   0.00000   1.00000   0.00000  
Pb18 1a     0.50012   0.00000   0.00000   1.00000   0.00000  
Pb20 1a     0.56262   0.00000   0.00000   1.00000   0.00000  
Pb22 1a     0.62512   0.00000   0.00000   1.00000   0.00000  
Pb24 1a     0.68762   0.00000   0.00000   1.00000   0.00000  
Pb26 1a     0.75012   0.00000   0.00000   1.00000   0.00000  
Pb28 1a     0.81262   0.00000   0.00000   1.00000   0.00000  
Pb30 1a     0.87512   0.00000   0.00000   1.00000   0.00000  
Pb32 1a     0.93762   0.00000   0.00000   1.00000   0.00000  
Pb17 1a     0.00012   0.00000   0.00000   1.00000   0.00000  
Pb19 1a     0.06262   0.00000   0.00000   1.00000   0.00000  
Ti5  1a     0.12512   0.50000   0.50000   1.00000   0.00000  
Ti7  1a     0.18762   0.50000   0.50000   1.00000   0.00000  
Ti9  1a     0.25012   0.50000   0.50000   1.00000   0.00000  
Ti11 1a     0.31262   0.50000   0.50000   1.00000   0.00000  
Ti13 1a     0.37512   0.50000   0.50000   1.00000   0.00000  
Ti15 1a     0.43762   0.50000   0.50000   1.00000   0.00000  
Ti2  1a     0.50012   0.50000   0.50000   1.00000   0.00000  
Ti4  1a     0.56262   0.50000   0.50000   1.00000   0.00000  
Ti6  1a     0.62512   0.50000   0.50000   1.00000   0.00000  
Ti8  1a     0.68762   0.50000   0.50000   1.00000   0.00000  
Ti10 1a     0.75012   0.50000   0.50000   1.00000   0.00000  
Ti12 1a     0.81262   0.50000   0.50000   1.00000   0.00000  
Ti14 1a     0.87512   0.50000   0.50000   1.00000   0.00000  
Ti16 1a     0.93762   0.50000   0.50000   1.00000   0.00000  
Ti1  1a     0.00012   0.50000   0.50000   1.00000   0.00000  
Ti3  1a     0.06262   0.50000   0.50000   1.00000   0.00000  
Ti21 1a     0.15637   0.00000   0.50000   1.00000   0.00000  
Ti23 1a     0.21887   0.00000   0.50000   1.00000   0.00000  
Ti25 1a     0.28137   0.00000   0.50000   1.00000   0.00000  
Ti27 1a     0.34387   0.00000   0.50000   1.00000   0.00000  
Ti29 1a     0.40637   0.00000   0.50000   1.00000   0.00000  
Ti31 1a     0.46887   0.00000   0.50000   1.00000   0.00000  
Ti18 1a     0.53137   0.00000   0.50000   1.00000   0.00000  
Ti20 1a     0.59387   0.00000   0.50000   1.00000   0.00000  
Ti22 1a     0.65637   0.00000   0.50000   1.00000   0.00000  
Ti24 1a     0.71887   0.00000   0.50000   1.00000   0.00000  
