ISODISTORT
SUITE
HELP
ISODISTORT: modes details
Parent structure (221 Pm-3m)
a=3.92037, b=3.92037, c=3.92037, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x         y         z         occ   
Pb1  1a     0.00000   0.00000   0.00000   1.00000
Ti1  1b     0.50000   0.50000   0.50000   1.00000
O1   3c     0.00000   0.50000   0.50000   1.00000

Subgroup details
1 P1, basis={(16,-16,0),(1,1,0),(0,0,1)}, origin=(-3.99219,1.99219,-0.01301), s=32, i=1536

Undistorted superstructure 
a=88.70785, b=5.54424, c=3.92037, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x         y         z         occ      displ  
Pb30 1a     0.90581   0.32603   0.01301   1.00000   0.97289  
Pb16 1a     0.93694  -0.17104   0.01301   1.00000   0.95654  
Pb32 1a     0.96814   0.34642   0.01301   1.00000   0.85893  
Pb1  1a    -0.00062  -0.13329   0.01301   1.00000   0.74549  
Pb17 1a     0.03065   0.38773   0.01301   1.00000   0.62796  
Pb3  1a     0.06192  -0.09093   0.01301   1.00000   0.50860  
Pb19 1a     0.09319   0.43058   0.01301   1.00000   0.38824  
Pb5  1a     0.12447  -0.04767   0.01301   1.00000   0.26659  
Pb21 1a     0.15576   0.47429   0.01301   1.00000   0.14381  
Ti21 1a     0.18809   0.51235   0.51301   1.00000   0.11864  
Ti7  1a     0.21937   0.03411   0.51301   1.00000   0.21495  
Ti23 1a     0.25064   0.55568   0.51301   1.00000   0.32749  
Ti9  1a     0.28192   0.07712   0.51301   1.00000   0.44357  
Ti25 1a     0.31319   0.59815   0.51301   1.00000   0.55888  
Ti11 1a     0.34445   0.11914   0.51301   1.00000   0.67462  
Ti27 1a     0.37567   0.64060   0.51301   1.00000   0.79310  
Ti13 1a     0.40674   0.16042   0.51301   1.00000   0.90137  
Ti29 1a     0.43791   0.65386   0.51301   1.00000   0.86418  
Ti15 1a     0.46917   0.13689   0.51301   1.00000   0.76979  
Ti31 1a     0.50043   0.61697   0.51301   1.00000   0.65930  
Ti2  1a     0.53170   0.09610   0.51301   1.00000   0.54399  
Ti18 1a     0.56298   0.57481   0.51301   1.00000   0.42720  
Ti4  1a     0.59426   0.05334   0.51301   1.00000   0.31123  
Ti20 1a     0.62553   0.53158   0.51301   1.00000   0.19881  
Ti6  1a     0.65681   0.00961   0.51301   1.00000   0.10808  
Ti22 1a     0.68809   0.48765   0.51301   1.00000   0.11864  
Ti8  1a     0.71937  -0.03411   0.51301   1.00000   0.21495  
Ti24 1a     0.75064   0.44432   0.51301   1.00000   0.32749  
Ti10 1a     0.78192  -0.07712   0.51301   1.00000   0.44357  
Ti26 1a     0.81319   0.40185   0.51301   1.00000   0.55888  
Ti12 1a     0.84445  -0.11914   0.51301   1.00000   0.67462  
Ti28 1a     0.87567   0.35940   0.51301   1.00000   0.79310  
Ti14 1a     0.90674  -0.16042   0.51301   1.00000   0.90137  
Ti30 1a     0.93791   0.34614   0.51301   1.00000   0.86418  
Ti16 1a     0.96917  -0.13689   0.51301   1.00000   0.76979  
Ti32 1a     0.00043   0.38303   0.51301   1.00000   0.65930  
Ti1  1a     0.03170  -0.09610   0.51301   1.00000   0.54399  
Ti17 1a     0.06298   0.42519   0.51301   1.00000   0.42720  
Ti3  1a     0.09426  -0.05334   0.51301   1.00000   0.31123  
Ti19 1a     0.12553   0.46842   0.51301   1.00000   0.19881  
Ti5  1a     0.15681  -0.00961   0.51301   1.00000   0.10808  
O37  1a     0.17430   0.27938   0.51301   1.00000   0.30803  
