ISODISTORT
SUITE
HELP
ISODISTORT: modes details
Parent structure (221 Pm-3m)
a=3.92037, b=3.92037, c=3.92037, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x         y         z         occ   
Pb1  1a     0.00000   0.00000   0.00000   1.00000
Ti1  1b     0.50000   0.50000   0.50000   1.00000
O1   3c     0.00000   0.50000   0.50000   1.00000

Subgroup details
1 P1, basis={(16,-16,0),(1,1,0),(0,0,1)}, origin=(-3.00192,2.00192,0), s=32, i=1536

Undistorted superstructure 
a=88.70785, b=5.54424, c=3.92037, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x         y         z         occ      displ  
Pb16 1a     0.90637   0.50000   0.00000   1.00000   0.00000  
Pb32 1a     0.93762   0.00000   0.00000   1.00000   0.00000  
Pb1  1a     0.96887   0.50000   0.00000   1.00000   0.00000  
Pb17 1a     0.00012   0.00000   0.00000   1.00000   0.00000  
Pb3  1a     0.03137   0.50000   0.00000   1.00000   0.00000  
Pb19 1a     0.06262   0.00000   0.00000   1.00000   0.00000  
Pb5  1a     0.09387   0.50000   0.00000   1.00000   0.00000  
Pb21 1a     0.12512   0.00000   0.00000   1.00000   0.00000  
Ti21 1a     0.15637   0.00000   0.50000   1.00000   0.00000  
Ti7  1a     0.18762   0.50000   0.50000   1.00000   0.00000  
Ti23 1a     0.21887   0.00000   0.50000   1.00000   0.00000  
Ti9  1a     0.25012   0.50000   0.50000   1.00000   0.00000  
Ti25 1a     0.28137   0.00000   0.50000   1.00000   0.00000  
Ti11 1a     0.31262   0.50000   0.50000   1.00000   0.00000  
Ti27 1a     0.34387   0.00000   0.50000   1.00000   0.00000  
Ti13 1a     0.37512   0.50000   0.50000   1.00000   0.00000  
Ti29 1a     0.40637   0.00000   0.50000   1.00000   0.00000  
Ti15 1a     0.43762   0.50000   0.50000   1.00000   0.00000  
Ti31 1a     0.46887   0.00000   0.50000   1.00000   0.00000  
Ti2  1a     0.50012   0.50000   0.50000   1.00000   0.00000  
Ti18 1a     0.53137   0.00000   0.50000   1.00000   0.00000  
Ti4  1a     0.56262   0.50000   0.50000   1.00000   0.00000  
Ti20 1a     0.59387   0.00000   0.50000   1.00000   0.00000  
Ti6  1a     0.62512   0.50000   0.50000   1.00000   0.00000  
Ti22 1a     0.65637   0.00000   0.50000   1.00000   0.00000  
Ti8  1a     0.68762   0.50000   0.50000   1.00000   0.00000  
Ti24 1a     0.71887   0.00000   0.50000   1.00000   0.00000  
Ti10 1a     0.75012   0.50000   0.50000   1.00000   0.00000  
Ti26 1a     0.78137   0.00000   0.50000   1.00000   0.00000  
Ti12 1a     0.81262   0.50000   0.50000   1.00000   0.00000  
Ti28 1a     0.84387   0.00000   0.50000   1.00000   0.00000  
Ti14 1a     0.87512   0.50000   0.50000   1.00000   0.00000  
Ti30 1a     0.90637   0.00000   0.50000   1.00000   0.00000  
Ti16 1a     0.93762   0.50000   0.50000   1.00000   0.00000  
Ti32 1a     0.96887   0.00000   0.50000   1.00000   0.00000  
Ti1  1a     0.00012   0.50000   0.50000   1.00000   0.00000  
Ti17 1a     0.03137   0.00000   0.50000   1.00000   0.00000  
Ti3  1a     0.06262   0.50000   0.50000   1.00000   0.00000  
Ti19 1a     0.09387   0.00000   0.50000   1.00000   0.00000  
Ti5  1a     0.12512   0.50000   0.50000   1.00000   0.00000  
O37  1a     0.14075   0.75000   0.50000   1.00000   0.00000  
O7   1a     0.17200   0.25000   0.50000   1.00000   0.00000  
O39  1a     0.20325   0.75000   0.50000   1.00000   0.00000  
O9   1a     0.23450   0.25000   0.50000   1.00000   0.00000  
O41  1a     0.26575   0.75000   0.50000   1.00000   0.00000  
O11  1a     0.29700   0.25000   0.50000   1.00000   0.00000  
O43  1a     0.32825   0.75000   0.50000   1.00000   0.00000  
O13  1a     0.35950   0.25000   0.50000   1.00000   0.00000  
O45  1a     0.39075   0.75000   0.50000   1.00000   0.00000  
O15  1a     0.42200   0.25000   0.50000   1.00000   0.00000  
O47  1a     0.45325   0.75000   0.50000   1.00000   0.00000  
O17  1a     0.48450   0.25000   0.50000   1.00000   0.00000  
O49  1a     0.51575   0.75000   0.50000   1.00000   0.00000  
O19  1a     0.54700   0.25000   0.50000   1.00000   0.00000  
O51  1a     0.57825   0.75000   0.50000   1.00000   0.00000  
O21  1a     0.60950   0.25000   0.50000   1.00000   0.00000  
O53  1a     0.64075   0.75000   0.50000   1.00000   0.00000  
O23  1a     0.67200   0.25000   0.50000   1.00000   0.00000  
O55  1a     0.70325   0.75000   0.50000   1.00000   0.00000  
O25  1a     0.73450   0.25000   0.50000   1.00000   0.00000  
O57  1a     0.76575   0.75000   0.50000   1.00000   0.00000  
O27  1a     0.79700   0.25000   0.50000   1.00000   0.00000  
O59  1a     0.82825   0.75000   0.50000   1.00000   0.00000  
O29  1a     0.85950   0.25000   0.50000   1.00000   0.00000  
O61  1a     0.89075   0.75000   0.50000   1.00000   0.00000  
O31  1a     0.92200   0.25000   0.50000   1.00000   0.00000  
O63  1a     0.95325   0.75000   0.50000   1.00000   0.00000  
O1   1a     0.98450   0.25000   0.50000   1.00000   0.00000  
O33  1a     0.01574   0.75000   0.50000   1.00000   0.00000  
O3   1a     0.04700   0.25000   0.50000   1.00000   0.00000  
O35  1a     0.07824   0.75000   0.50000   1.00000   0.00000  
O5   1a     0.10949   0.25000   0.50000   1.00000   0.00000  
O85  1a     0.15637   0.00000   0.00000   1.00000   0.00000  
O71  1a     0.18762   0.50000   0.00000   1.00000   0.00000  
O87  1a     0.21887   0.00000   0.00000   1.00000   0.00000  
O73  1a     0.25012   0.50000   0.00000   1.00000   0.00000  
O89  1a     0.28137   0.00000   0.00000   1.00000   0.00000  
O75  1a     0.31262   0.50000   0.00000   1.00000   0.00000  
O91  1a     0.34387   0.00000   0.00000   1.00000   0.00000  
O77  1a     0.37512   0.50000   0.00000   1.00000   0.00000  
O93  1a     0.40637   0.00000   0.00000   1.00000   0.00000  
O79  1a     0.43762   0.50000   0.00000   1.00000   0.00000  
O95  1a     0.46887   0.00000   0.00000   1.00000   0.00000  
O66  1a     0.50012   0.50000   0.00000   1.00000   0.00000  
O82  1a     0.53137   0.00000   0.00000   1.00000   0.00000  
O68  1a     0.56262   0.50000   0.00000   1.00000   0.00000  
O84  1a     0.59387   0.00000   0.00000   1.00000   0.00000  
O70  1a     0.62512   0.50000   0.00000   1.00000   0.00000  
O86  1a     0.65637   0.00000   0.00000   1.00000   0.00000  
O72  1a     0.68762   0.50000   0.00000   1.00000   0.00000  
O88  1a     0.71887   0.00000   0.00000   1.00000   0.00000  
O74  1a     0.75012   0.50000   0.00000   1.00000   0.00000  
O90  1a     0.78137   0.00000   0.00000   1.00000   0.00000  
O76  1a     0.81262   0.50000   0.00000   1.00000   0.00000  
O92  1a     0.84387   0.00000   0.00000   1.00000   0.00000  
O78  1a     0.87512   0.50000   0.00000   1.00000   0.00000  
O94  1a     0.90637   0.00000   0.00000   1.00000   0.00000  
O80  1a     0.93762   0.50000   0.00000   1.00000   0.00000  
O96  1a     0.96887   0.00000   0.00000   1.00000   0.00000  
O65  1a     0.00012   0.50000   0.00000   1.00000   0.00000  
O81  1a     0.03137   0.00000   0.00000   1.00000   0.00000  
O67  1a     0.06262   0.50000   0.00000   1.00000   0.00000  
O83  1a     0.09387   0.00000   0.00000   1.00000   0.00000  
O69  1a     0.12512   0.50000   0.00000   1.00000   0.00000  
O24  1a     0.17200   0.75000   0.50000   1.00000   0.00000  
O56  1a     0.20325   0.25000   0.50000   1.00000   0.00000  
O26  1a     0.23450   0.75000   0.50000   1.00000   0.00000  
O58  1a     0.26575   0.25000   0.50000   1.00000   0.00000  
O28  1a     0.29700   0.75000   0.50000   1.00000   0.00000  
O60  1a     0.32825   0.25000   0.50000   1.00000   0.00000  
O30  1a     0.35950   0.75000   0.50000   1.00000   0.00000  
O62  1a     0.39075   0.25000   0.50000   1.00000   0.00000  
O32  1a     0.42200   0.75000   0.50000   1.00000   0.00000  
O64  1a     0.45325   0.25000   0.50000   1.00000   0.00000  
O2   1a     0.48450   0.75000   0.50000   1.00000   0.00000  
O34  1a     0.51575   0.25000   0.50000   1.00000   0.00000  
O4   1a     0.54700   0.75000   0.50000   1.00000   0.00000  
O36  1a     0.57825   0.25000   0.50000   1.00000   0.00000  
O6   1a     0.60950   0.75000   0.50000   1.00000   0.00000  
O38  1a     0.64075   0.25000   0.50000   1.00000   0.00000  
O8   1a     0.67200   0.75000   0.50000   1.00000   0.00000  
O40  1a     0.70325   0.25000   0.50000   1.00000   0.00000  
O10  1a     0.73450   0.75000   0.50000   1.00000   0.00000  
O42  1a     0.76575   0.25000   0.50000   1.00000   0.00000  
O12  1a     0.79700   0.75000   0.50000   1.00000   0.00000  
O44  1a     0.82825   0.25000   0.50000   1.00000   0.00000  
O14  1a     0.85950   0.75000   0.50000   1.00000   0.00000  
O46  1a     0.89075   0.25000   0.50000   1.00000   0.00000  
O16  1a     0.92200   0.75000   0.50000   1.00000   0.00000  
O48  1a     0.95325   0.25000   0.50000   1.00000   0.00000  
O18  1a     0.98450   0.75000   0.50000   1.00000   0.00000  
O50  1a     0.01574   0.25000   0.50000   1.00000   0.00000  
O20  1a     0.04700   0.75000   0.50000   1.00000   0.00000  
O52  1a     0.07824   0.25000   0.50000   1.00000   0.00000  
O22  1a     0.10949   0.75000   0.50000   1.00000   0.00000  
O54  1a     0.14075   0.25000   0.50000   1.00000   0.00000  

Distorted superstructure 
a=89.47721, b=5.59233, c=3.91654, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x         y         z         occ      displ  
Pb7  1a     0.15637   0.49583   0.00000   1.00000   0.02332  
Pb23 1a     0.18762   0.02403   0.00000   1.00000   0.13439  
Pb9  1a     0.21887   0.55131   0.00000   1.00000   0.28694  
Pb25 1a     0.25012   0.07661   0.00000   1.00000   0.42842  
Pb11 1a     0.28137   0.59897   0.00000   1.00000   0.55348  
Pb27 1a     0.31262   0.11753   0.00000   1.00000   0.65726  
Pb13 1a     0.34387   0.63157   0.00000   1.00000   0.73578  
Pb29 1a     0.37512   0.14055   0.00000   1.00000   0.78600  
Pb15 1a     0.40637   0.64413   0.00000   1.00000   0.80602  
Pb31 1a     0.43762   0.14218   0.00000   1.00000   0.79512  
Pb2  1a     0.46887   0.63476   0.00000   1.00000   0.75362  
Pb18 1a     0.50012   0.12216   0.00000   1.00000   0.68316  
Pb4  1a     0.53137   0.60487   0.00000   1.00000   0.58647  
Pb20 1a     0.56262   0.08354   0.00000   1.00000   0.46719  
